HUGO_SYMBOL	Entrez_Gene_Id	Bill_Normal
ANXA8L2	00000	0
ANXA9	00000	518.15
AOAH	00000	31
AOC1	00000	4543.8
AOC2	00000	8.85
AOC3	00000	44.89
AOX1	00000	2627.46
AP1AR	00000	253.23
AP1B1	00000	1088.92
AP1G1	00000	599.49
AP1G2	00000	1111.82
AP1M1	00000	1388.16
AP1M2	00000	1572.76
AP1S1	00000	2777.33
AP1S2	00000	79.45
AP1S3	00000	255
AP2A1	00000	1008.9
AP2A2	00000	1268.46
AP2B1	00000	2075.59
AP2M1	00000	4903.87
AP2S1	00000	1540.37
AP3B1	00000	599.49
AP3B2	00000	10.71
AP3D1	00000	1313.23
AP3M1	00000	361.04
AP3M2	00000	229.72
AP3S1	00000	629.35
AP3S2	00000	1030.12
AP4B1	00000	96.01
AP4E1	00000	64.8
AP4M1	00000	423.61
AP4S1	00000	122.64
AP5B1	00000	202.66
AP5M1	00000	595.34
AP5S1	00000	223.41
AP5Z1	00000	460.44
APAF1	00000	67.59
APBA1	00000	36.53
APBA2	00000	150.17
APBA3	00000	343.89
APBB1	00000	575.03
APBB1IP	00000	1651
APBB2	00000	123.5
APBB3	00000	281.09
APC	00000	85.22
APC2	00000	1.85
APCDD1	00000	21.32
APCDD1L	00000	0.36
APCS	00000	0
APEH	00000	4210.15
APEX1	00000	3257.52
APEX2	00000	389.72
APH1A	00000	2777.33
APH1B	00000	106.63
API5	00000	848.22
APIP	00000	518.15
APITD1	00000	1397.83
APITD1-CORT	00000	36.79
APLF	00000	17.38
APLN	00000	90.77
APLNR	00000	9.06
APLP1	00000	0.77
APLP2	00000	8191
APMAP	00000	1259.69
APOA1	00000	0
APOA1BP	00000	3874.05
APOA2	00000	0
APOA4	00000	0
APOA5	00000	0
APOB	00000	0.38
APOBEC1	00000	0
APOBEC2	00000	0.73
APOBEC3A	00000	34.51
APOBEC3B	00000	58.3
APOBEC3C	00000	246.28
APOBEC3D	00000	80.01
APOBEC3F	00000	110.43
APOBEC3G	00000	94.67
APOBEC3H	00000	4.78
APOBEC4	00000	0.73
APOBR	00000	34.51
APOC1	00000	1015.93
APOC2	00000	111.99
APOC3	00000	6.89
APOC4	00000	0.74
APOC4-APOC2	00000	0
APOD	00000	175.07
APOE	00000	28923.41
APOF	00000	0
APOH	00000	96.68
APOL1	00000	269.6
APOL2	00000	802.41
APOL3	00000	66.18
APOL4	00000	4.43
APOL5	00000	0
APOL6	00000	111.99
APOLD1	00000	139.07
APOM	00000	974.5
APOO	00000	780.44
APOOL	00000	199.85
APOPT1	00000	1685.71
APP	00000	11345.82
APPBP2	00000	264.03
APPL1	00000	194.36
APPL2	00000	629.35
APRT	00000	4095
APTX	00000	698.41
AQP1	00000	35856.82
AQP10	00000	0
AQP11	00000	84.63
AQP12A	00000	0
AQP12B	00000	0
AQP2	00000	0
AQP3	00000	1369.04
AQP4	00000	2.12
AQP5	00000	1.11
AQP6	00000	0
AQP7	00000	698.41
AQP8	00000	0
AQP9	00000	30.34
AQR	00000	228.13
AR	00000	289.02
ARAF	00000	1350.18
ARAP1	00000	1259.69
ARAP2	00000	81.71
ARAP3	00000	25.91
ARC	00000	40.36
ARCN1	00000	1417.35
AREG	00000	26.86
AREGB	00000	0
AREL1	00000	318.57
ARF1	00000	5751.61
ARF3	00000	2303.12
ARF4	00000	2367.9
ARF5	00000	4239.45
ARF6	00000	2400.97
ARFGAP1	00000	638.15
ARFGAP2	00000	1167.14
ARFGAP3	00000	1044.52
ARFGEF1	00000	518.15
ARFGEF2	00000	303.44
ARFIP1	00000	336.79
ARFIP2	00000	934.76
ARFRP1	00000	780.44
ARG1	00000	3.38
ARG2	00000	228.13
ARGLU1	00000	624.99
ARHGAP1	00000	1378.57
ARHGAP10	00000	201.25
ARHGAP11A	00000	10.47
ARHGAP11B	00000	10.96
ARHGAP12	00000	323.03
ARHGAP15	00000	33.3
ARHGAP17	00000	450.94
ARHGAP18	00000	197.09
ARHGAP19	00000	47.84
ARHGAP19-SLIT1	00000	0.73
ARHGAP20	00000	0.73
ARHGAP21	00000	237.86
ARHGAP22	00000	55.1
ARHGAP23	00000	37.85
ARHGAP24	00000	1745.2
ARHGAP25	00000	37.59
ARHGAP26	00000	49.56
ARHGAP27	00000	1001.93
ARHGAP28	00000	60.39
ARHGAP29	00000	703.28
ARHGAP30	00000	47.5
ARHGAP31	00000	31.22
ARHGAP32	00000	146.03
ARHGAP33	00000	31.9
ARHGAP35	00000	563.18
ARHGAP36	00000	0
ARHGAP39	00000	68.07
ARHGAP4	00000	101.54
ARHGAP40	00000	6.36
ARHGAP42	00000	145.02
ARHGAP44	00000	43.32
ARHGAP5	00000	599.49
ARHGAP6	00000	100.13
ARHGAP8	00000	218.79
ARHGAP9	00000	82.29
ARHGDIA	00000	7695.57
ARHGDIB	00000	525.39
ARHGDIG	00000	287.01
ARHGEF1	00000	599.49
ARHGEF10	00000	279.14
ARHGEF10L	00000	1733.13
ARHGEF11	00000	251.48
ARHGEF12	00000	890.44
ARHGEF15	00000	40.64
ARHGEF16	00000	928.3
ARHGEF17	00000	273.37
ARHGEF18	00000	312
ARHGEF19	00000	19.68
ARHGEF2	00000	457.25
ARHGEF25	00000	43.94
ARHGEF26	00000	7.4
ARHGEF28	00000	808
ARHGEF3	00000	181.28
ARHGEF33	00000	10.24
ARHGEF35	00000	559.28
ARHGEF37	00000	62.56
ARHGEF38	00000	69.52
ARHGEF39	00000	13.83
ARHGEF4	00000	16.27
ARHGEF40	00000	480.04
ARHGEF5	00000	571.05
ARHGEF6	00000	97.36
ARHGEF7	00000	376.41
ARHGEF9	00000	429.54
ARID1A	00000	297.17
ARID1B	00000	279.14
ARID2	00000	99.43
ARID3A	00000	53.57
ARID3B	00000	50.63
ARID3C	00000	0
ARID4A	00000	208.38
ARID4B	00000	151.22
ARID5A	00000	150.17
ARID5B	00000	444.72
ARIH1	00000	301.33
ARIH2	00000	802.41
ARIH2OS	00000	16.39
ARL1	00000	1208.34
ARL10	00000	4.46
ARL11	00000	3.63
ARL13A	00000	0
ARL13B	00000	102.25
ARL14	00000	0
ARL14EP	00000	297.17
ARL14EPL	00000	0
ARL15	00000	175.07
ARL16	00000	1066.48
ARL17A	00000	86.43
ARL17B	00000	126.12
ARL2	00000	3081.75
ARL2BP	00000	1073.91
ARL3	00000	334.46
ARL4A	00000	295.11
ARL4C	00000	493.56
ARL4D	00000	187.71
ARL5A	00000	563.18
ARL5B	00000	122.64
ARL5C	00000	0
ARL6	00000	132.44
ARL6IP1	00000	1936.53
ARL6IP4	00000	4095
ARL6IP5	00000	4095
ARL6IP6	00000	215.77
ARL8A	00000	934.76
ARL8B	00000	974.5
ARL9	00000	1.83
ARMC1	00000	351.14
ARMC10	00000	954.43
ARMC12	00000	0
ARMC2	00000	26.86
ARMC3	00000	20.11
ARMC4	00000	11.21
ARMC5	00000	90.77
ARMC6	00000	389.72
ARMC7	00000	318.57
ARMC8	00000	435.55
ARMC9	00000	177.53
ARMCX1	00000	109.66
ARMCX2	00000	343.89
ARMCX3	00000	688.78
ARMCX4	00000	82.87
ARMCX5	00000	130.6
ARMCX6	00000	457.25
ARMS2	00000	0
ARNT	00000	346.29
ARNT2	00000	53.19
ARNTL	00000	119.26
ARNTL2	00000	14.78
ARPC1A	00000	2816.11
ARPC1B	00000	3901.01
ARPC2	00000	3018.3
ARPC3	00000	5913.33
ARPC4	00000	3515.68
ARPC4-TTLL3	00000	204.07
ARPC5	00000	1605.83
ARPC5L	00000	603.67
ARPP19	00000	909.17
ARPP21	00000	0.75
ARR3	00000	0
ARRB1	00000	145.02
ARRB2	00000	529.06
ARRDC1	00000	854.13
ARRDC2	00000	193.01
ARRDC3	00000	297.17
ARRDC4	00000	65.26
ARRDC5	00000	0
ARSA	00000	551.56
ARSB	00000	248
